MEAT AND EDIBLE MEAT OFFAL.,NEPAL,0.3
MEAT AND EDIBLE MEAT OFFAL.,BANGLADESH PR,9.06
MEAT AND EDIBLE MEAT OFFAL.,MOROCCO,0.0
MEAT AND EDIBLE MEAT OFFAL.,LEBANON,4.57
MEAT AND EDIBLE MEAT OFFAL.,BRAZIL,0.0
MEAT AND EDIBLE MEAT OFFAL.,GAMBIA,0.17
MEAT AND EDIBLE MEAT OFFAL.,ANGOLA,27.31
MEAT AND EDIBLE MEAT OFFAL.,BRUNEI,8.42
MEAT AND EDIBLE MEAT OFFAL.,TURKMENISTAN,15.17
MEAT AND EDIBLE MEAT OFFAL.,CAMEROON,0.19
MEAT AND EDIBLE MEAT OFFAL.,GHANA,0.49
MEAT AND EDIBLE MEAT OFFAL.,SEYCHELLES,0.69
MEAT AND EDIBLE MEAT OFFAL.,SOUTH AFRICA,0.07
MEAT AND EDIBLE MEAT OFFAL.,U S A,0.78
MEAT AND EDIBLE MEAT OFFAL.,KOREA RP,1.01
MEAT AND EDIBLE MEAT OFFAL.,SINGAPORE,1.07
MEAT AND EDIBLE MEAT OFFAL.,PAKISTAN IR,8.82
MEAT AND EDIBLE MEAT OFFAL.,CAMBODIA,1.27
MEAT AND EDIBLE MEAT OFFAL.,GABON,16.18
MEAT AND EDIBLE MEAT OFFAL.,BHUTAN,5.09
MEAT AND EDIBLE MEAT OFFAL.,TAIWAN,0.6
MEAT AND EDIBLE MEAT OFFAL.,DENMARK,0.0
MEAT AND EDIBLE MEAT OFFAL.,BAHARAIN IS,24.68
MEAT AND EDIBLE MEAT OFFAL.,GERMANY,0.01
MEAT AND EDIBLE MEAT OFFAL.,AZERBAIJAN,0.51
MEAT AND EDIBLE MEAT OFFAL.,KYRGHYZSTAN,0.07
MEAT AND EDIBLE MEAT OFFAL.,GUINEA,0.56
MEAT AND EDIBLE MEAT OFFAL.,IRAN,13.33
MEAT AND EDIBLE MEAT OFFAL.,MADAGASCAR,0.0
MEAT AND EDIBLE MEAT OFFAL.,QATAR,31.7
MEAT AND EDIBLE MEAT OFFAL.,OMAN,45.45
MEAT AND EDIBLE MEAT OFFAL.,JORDAN,28.81
MEAT AND EDIBLE MEAT OFFAL.,MALDIVES,8.55
MEAT AND EDIBLE MEAT OFFAL.,TURKEY,2.48
MEAT AND EDIBLE MEAT OFFAL.,YEMEN REPUBLC,0.13
MEAT AND EDIBLE MEAT OFFAL.,SRI LANKA DSR,0.01
MEAT AND EDIBLE MEAT OFFAL.,CONGO P REP,11.49
MEAT AND EDIBLE MEAT OFFAL.,NAMIBIA,0.71
MEAT AND EDIBLE MEAT OFFAL.,LAO PD RP,0.94
MEAT AND EDIBLE MEAT OFFAL.,ZAMBIA,0.08
MEAT AND EDIBLE MEAT OFFAL.,AFGHANISTAN TIS,0.18
MEAT AND EDIBLE MEAT OFFAL.,RUSSIA,47.45
MEAT AND EDIBLE MEAT OFFAL.,UZBEKISTAN,0.15
MEAT AND EDIBLE MEAT OFFAL.,SPAIN,0.02
MEAT AND EDIBLE MEAT OFFAL.,GEORGIA,23.01
MEAT AND EDIBLE MEAT OFFAL.,KUWAIT,31.36
MEAT AND EDIBLE MEAT OFFAL.,COMOROS,4.72
MEAT AND EDIBLE MEAT OFFAL.,ALGERIA,50.75
MEAT AND EDIBLE MEAT OFFAL.,PANAMA REPUBLIC,0.0
MEAT AND EDIBLE MEAT OFFAL.,UKRAINE,0.0
MEAT AND EDIBLE MEAT OFFAL.,BENIN,0.08
MEAT AND EDIBLE MEAT OFFAL.,CONGO D. REP.,2.83
MEAT AND EDIBLE MEAT OFFAL.,CAYMAN IS,0.0
MEAT AND EDIBLE MEAT OFFAL.,LIBERIA,2.1
MEAT AND EDIBLE MEAT OFFAL.,SENEGAL,11.13
MEAT AND EDIBLE MEAT OFFAL.,KENYA,0.0
MEAT AND EDIBLE MEAT OFFAL.,SIERRA LEONE,0.69
MEAT AND EDIBLE MEAT OFFAL.,EQUTL GUINEA,3.59
MEAT AND EDIBLE MEAT OFFAL.,LATVIA,0.0
MEAT AND EDIBLE MEAT OFFAL.,BOTSWANA,0.0
MEAT AND EDIBLE MEAT OFFAL.,LIBYA,0.05
MEAT AND EDIBLE MEAT OFFAL.,HONG KONG,1.84
MEAT AND EDIBLE MEAT OFFAL.,THAILAND,19.41
MEAT AND EDIBLE MEAT OFFAL.,U K,0.0
MEAT AND EDIBLE MEAT OFFAL.,COTE D' IVOIRE,0.41
MEAT AND EDIBLE MEAT OFFAL.,MAURITIUS,11.0
MEAT AND EDIBLE MEAT OFFAL.,ARMENIA,2.28
